replication,seed,population,strategy,peak_load_ratio,overcrowded_poi_time_pct,top_10_visit_share,visit_gini,district_entropy,catalog_coverage,tourist_satisfaction,recommendation_acceptance,mean_distance_km,budget_compliance,precision_at_5,recall_at_5,diversity,novelty,exposure_fairness,mean_sustainability,mean_local_economic,completed_visit_share
10,1010,5000,popularity,1.34331550802139,1.6666666666666667,0.77825,0.8553316666666668,0.7175359876314781,0.36666666666666664,0.5292870967786751,0.2853,1.7064333324507273,1.0,0.15078000000000003,0.1479095831060924,0.8913400000000001,0.1811541,0.14466833333333318,0.678429,0.6062804999999999,1.0
10,1010,5000,personalized,0.7127272727272728,0.0,0.13405,0.3579483333333333,0.974287335972475,0.9666666666666667,0.7864539771455978,0.29605,2.594355266432344,1.0,0.70381,0.5650813363760422,0.33310000000000006,0.543338,0.6420516666666667,0.8071065000000001,0.720058,1.0
10,1010,5000,sustainability,0.6581818181818182,0.0,0.0758,0.4066133333333335,0.9999971540616636,0.9666666666666667,0.7192652817329417,0.3111,2.368115638132665,1.0,0.42456000000000005,0.32405652851512956,0.8789400000000002,0.5658912,0.5933866666666665,0.8204365,0.7443155,1.0
11,1011,5000,popularity,1.4352941176470586,1.6666666666666667,0.77795,0.8561216666666667,0.7155541955008861,0.4,0.5299851772162207,0.28305,1.7216608179541826,1.0,0.15145999999999998,0.14628120482200976,0.8932500000000002,0.1797505,0.14387833333333333,0.6777965,0.6056929999999999,1.0
11,1011,5000,personalized,0.6327272727272727,0.0,0.1332,0.3597733333333335,0.9754117514655024,0.9666666666666667,0.7886284546849518,0.28955,2.59579874091787,1.0,0.7078800000000001,0.5660440978270526,0.32927500000000004,0.5418480999999999,0.6402266666666665,0.807636,0.721116,1.0
11,1011,5000,sustainability,0.6727272727272727,0.0,0.0749,0.40525333333333347,0.9999994353243489,0.9666666666666667,0.7185598626265471,0.3069,2.407192428566312,1.0,0.42751999999999996,0.3243534485975411,0.8785300000000001,0.5680934,0.5947466666666665,0.8213514999999999,0.7451835000000001,1.0
12,1012,5000,popularity,1.3796791443850265,1.6666666666666667,0.776,0.85642,0.7184985326964222,0.4,0.5313051180407169,0.29015,1.729287783826491,1.0,0.15023,0.14983398990156732,0.8930450000000001,0.1809963,0.14358000000000004,0.6789970000000001,0.6054930000000001,1.0
12,1012,5000,personalized,0.6618181818181819,0.0,0.13445,0.36072166666666683,0.9743609910872497,0.9666666666666667,0.7887591444782833,0.2993,2.6151043115761783,1.0,0.70867,0.5702020030423222,0.329395,0.5429298,0.6392783333333332,0.8076825000000001,0.7192774999999999,1.0
12,1012,5000,sustainability,0.6690909090909091,0.0,0.0763,0.4088233333333333,0.9999992291263882,0.9666666666666667,0.7186692662152181,0.31265,2.390389744390069,1.0,0.42513,0.3289700120658925,0.87902,0.5674802,0.5911766666666667,0.8200084999999999,0.7469955,1.0
13,1013,5000,popularity,1.4096256684491977,1.6666666666666667,0.77875,0.8561683333333334,0.7126487144520741,0.4,0.5335053034942266,0.283,1.695904757016206,1.0,0.15457000000000004,0.14700951649206487,0.8923300000000001,0.1805871,0.14383166666666658,0.6783015,0.606878,1.0
13,1013,5000,personalized,0.7054545454545454,0.0,0.13375,0.3583383333333334,0.974138911872831,0.9666666666666667,0.790069300480684,0.2938,2.5972428699215904,1.0,0.71316,0.5743762379008162,0.330065,0.5406701999999999,0.6416616666666666,0.8078334999999999,0.7217480000000001,1.0
13,1013,5000,sustainability,0.6690909090909091,0.0,0.0763,0.4115216666666668,0.9999980678557536,0.9833333333333333,0.719438045832869,0.30635,2.39910528087583,1.0,0.42771000000000003,0.32190194528596616,0.8786300000000001,0.5706888,0.5884783333333332,0.8207445,0.746525,1.0
14,1014,5000,popularity,1.3818181818181816,1.6666666666666667,0.77875,0.8568200000000001,0.7121320705601648,0.4,0.5295449055179884,0.29065,1.6998734980050634,1.0,0.15188,0.1472055296683451,0.8932200000000001,0.18029240000000002,0.14317999999999986,0.6774350000000001,0.606633,1.0
