strategy,slot,poi_id,poi_name,district,lat,lon,nominal_capacity,capacity,occupancy,load_ratio
personalized,3,P020,Pedralbes Monastery,Les Corts,41.3951,2.112,400,220.00000000000003,58,0.2636363636363636
personalized,3,P021,Pedralbes Gardens,Les Corts,41.3881,2.1176,750,412.50000000000006,94,0.22787878787878785
personalized,3,P022,Ceramics Museum,Les Corts,41.3882,2.1174,300,165.0,59,0.3575757575757576
personalized,3,P023,Les Corts Market,Les Corts,41.3861,2.1355,500,275.0,86,0.31272727272727274
personalized,3,P024,Can Deu Civic Centre,Les Corts,41.3883,2.1343,300,165.0,80,0.48484848484848486
personalized,3,P025,Tibidabo,Sarria-Sant Gervasi,41.4225,2.1186,900,495.00000000000006,9,0.01818181818181818
personalized,3,P026,Sagrat Cor Tibidabo,Sarria-Sant Gervasi,41.422,2.1185,500,275.0,32,0.11636363636363636
personalized,3,P027,CosmoCaixa,Sarria-Sant Gervasi,41.4132,2.131,800,440.00000000000006,45,0.10227272727272727
personalized,3,P028,Collserola Nature Park,Sarria-Sant Gervasi,41.4194,2.099,1200,660.0,54,0.08181818181818182
personalized,3,P029,Sarria Market,Sarria-Sant Gervasi,41.4007,2.1195,450,247.50000000000003,81,0.3272727272727272
personalized,3,P030,Tamarita Gardens,Sarria-Sant Gervasi,41.4093,2.132,500,275.0,87,0.31636363636363635
personalized,3,P031,Park Guell,Gracia,41.4145,2.1527,1100,605.0,0,0.0
personalized,3,P032,Casa Vicens,Gracia,41.4035,2.1506,350,192.50000000000003,21,0.10909090909090907
personalized,3,P033,Placa del Sol,Gracia,41.4013,2.157,650,357.50000000000006,120,0.3356643356643356
personalized,3,P034,Abaceria Market,Gracia,41.4036,2.1587,450,247.50000000000003,118,0.47676767676767673
personalized,3,P035,Park de la Creueta del Coll,Gracia,41.4187,2.147,800,440.00000000000006,24,0.054545454545454536
personalized,3,P036,Refugi Antiaeri Placa del Diamant,Gracia,41.4046,2.1566,220,121.00000000000001,38,0.31404958677685946
personalized,3,P037,Hospital de Sant Pau,Horta-Guinardo,41.4117,2.1744,600,330.0,11,0.03333333333333333
personalized,3,P038,Labyrinth Park of Horta,Horta-Guinardo,41.4397,2.147,700,385.00000000000006,7,0.018181818181818177
personalized,3,P039,Bunkers del Carmel,Horta-Guinardo,41.4193,2.1618,450,247.50000000000003,44,0.17777777777777776
personalized,3,P040,Guinardo Park,Horta-Guinardo,41.4183,2.1748,900,495.00000000000006,21,0.04242424242424242
personalized,3,P041,Horta Market,Horta-Guinardo,41.4298,2.1605,450,247.50000000000003,58,0.23434343434343433
personalized,3,P042,Masia Can Fargas,Horta-Guinardo,41.4256,2.1657,300,165.0,61,0.3696969696969697
personalized,3,P043,Parc Central de Nou Barris,Nou Barris,41.438,2.1719,1100,605.0,82,0.13553719008264462
personalized,3,P044,Castell de Torre Baro,Nou Barris,41.4588,2.1767,300,165.0,39,0.23636363636363636
personalized,3,P045,Nou Barris Technology Park,Nou Barris,41.435,2.1785,350,192.50000000000003,78,0.4051948051948051
personalized,3,P046,Guineueta Market,Nou Barris,41.4392,2.1691,400,220.00000000000003,56,0.2545454545454545
personalized,3,P047,Casa de l'Aigua,Nou Barris,41.4506,2.1858,300,165.0,87,0.5272727272727272
personalized,3,P048,Ateneu Popular 9 Barris,Nou Barris,41.4459,2.175,450,247.50000000000003,14,0.05656565656565656
personalized,3,P049,Fabra i Coats,Sant Andreu,41.4354,2.1894,550,302.5,107,0.3537190082644628
personalized,3,P050,Sant Andreu Market,Sant Andreu,41.4358,2.1898,500,275.0,66,0.24
personalized,3,P051,Church of Sant Andreu de Palomar,Sant Andreu,41.4361,2.19,350,192.50000000000003,85,0.4415584415584415
personalized,3,P052,La Pegaso Park,Sant Andreu,41.4264,2.1911,850,467.50000000000006,100,0.213903743315508
personalized,3,P053,Bon Pastor Museum Houses,Sant Andreu,41.437,2.204,250,137.5,80,0.5818181818181818
personalized,3,P054,Trinitat Vella Community Centre,Sant Andreu,41.4504,2.1925,300,165.0,66,0.4
personalized,3,P055,Ciutadella Park,Sant Marti,41.3881,2.1875,1500,825.0000000000001,143,0.1733333333333333
personalized,3,P056,Design Museum of Barcelona,Sant Marti,41.4024,2.1882,600,330.0,51,0.15454545454545454
personalized,3,P057,Encants Market,Sant Marti,41.4044,2.1877,800,440.00000000000006,100,0.22727272727272724
personalized,3,P058,Poblenou Cemetery,Sant Marti,41.3977,2.2045,450,247.50000000000003,92,0.37171717171717167
personalized,3,P059,Diagonal Mar Park,Sant Marti,41.4116,2.2163,1200,660.0,72,0.10909090909090909
personalized,3,P060,Palo Alto Barcelona,Sant Marti,41.4092,2.2098,500,275.0,36,0.13090909090909092
personalized,4,P001,Sagrada Familia,Eixample,41.4036,2.1744,900,495.00000000000006,6,0.01212121212121212
personalized,4,P002,Casa Batllo,Eixample,41.3917,2.1649,500,275.0,2,0.007272727272727273
personalized,4,P003,La Pedrera,Eixample,41.3954,2.1619,550,302.5,4,0.013223140495867768
personalized,4,P004,Sant Antoni Market,Eixample,41.3789,2.16,700,385.00000000000006,121,0.3142857142857142
personalized,4,P005,Palau Robert Gardens,Eixample,41.3975,2.1598,650,357.50000000000006,141,0.39440559440559436
personalized,4,P006,Monumental Bullring,Eixample,41.4005,2.1807,450,247.50000000000003,41,0.16565656565656564
personalized,4,P007,Barcelona Cathedral,Ciutat Vella,41.3839,2.1762,650,357.50000000000006,23,0.06433566433566433
personalized,4,P008,Picasso Museum,Ciutat Vella,41.3853,2.1809,500,275.0,14,0.05090909090909091
personalized,4,P009,La Boqueria Market,Ciutat Vella,41.3817,2.1716,850,467.50000000000006,121,0.2588235294117647
personalized,4,P010,Santa Maria del Mar,Ciutat Vella,41.3839,2.1821,550,302.5,65,0.21487603305785125
personalized,4,P011,Maritime Museum,Ciutat Vella,41.3763,2.1752,600,330.0,15,0.045454545454545456
personalized,4,P012,Barceloneta Beach,Ciutat Vella,41.3784,2.1925,1400,770.0000000000001,84,0.10909090909090907
personalized,4,P013,Montjuic Castle,Sants-Montjuic,41.3634,2.1662,650,357.50000000000006,24,0.06713286713286712
